MT-ND6,NDUFS5
MT-ND6,NDUFS2
MT-ND6,NDUFS1
MT-ND6,NDUFS6
MT-ND6,NDUFV1
MT-ND6,NDUFV2
MT-ND6,NDUFV3
NDUFA1,NDUFA11
NDUFA1,NDUFA12
NDUFA1,NDUFA13
NDUFA1,NDUFA10
NDUFA1,NDUFA2
NDUFA1,NDUFA3
NDUFA1,NDUFA4
NDUFA1,NDUFA6
NDUFA1,NDUFA5
NDUFA1,NDUFA7
NDUFA1,NDUFA8
NDUFA1,NDUFA9
NDUFA1,NDUFB1
NDUFA1,NDUFB10
NDUFA1,NDUFAB1
NDUFA1,NDUFB11
MT-ND6,NDUFS7
NDUFA1,NDUFB2
NDUFA1,NDUFB3
NDUFA1,NDUFB5
MT-ND6,NDUFS3
NDUFA1,NDUFB4
NDUFA1,NDUFC1
NDUFA1,NDUFC2
NDUFA1,NDUFS3
NDUFA1,NDUFS2
NDUFA1,NDUFB6
NDUFA1,NDUFS4
NDUFA1,NDUFS5
NDUFA1,NDUFS7
NDUFA1,NDUFV1
NDUFA1,NDUFS6
NDUFA1,NDUFV2
NDUFA1,NDUFV3
NDUFA10,NDUFB11
NDUFA11,NDUFA10
NDUFA11,NDUFB10
NDUFA1,NDUFB7
NDUFA10,NDUFC2
NDUFA11,NDUFC2
NDUFA1,NDUFB8
NDUFA12,NDUFA10
NDUFA12,NDUFA11
NDUFA12,NDUFA13
NDUFA11,NDUFB11
NDUFA12,NDUFA9
NDUFA12,NDUFB11
NDUFA12,NDUFAB1
NDUFA12,NDUFB10
NDUFA12,NDUFB3
NDUFA12,NDUFB7
NDUFA12,NDUFC2
NDUFA12,NDUFV1
NDUFA12,NDUFS6
NDUFA13,NDUFA10
NDUFA12,NDUFS5
NDUFA13,NDUFA11
NDUFA13,NDUFA9
NDUFA13,NDUFAB1
NDUFA13,NDUFB10
NDUFA13,NDUFB11
NDUFA13,NDUFB7
NDUFA13,NDUFC2
NDUFA2,NDUFA10
NDUFA13,NDUFV1
NDUFA2,NDUFA11
NDUFA2,NDUFA12
NDUFA2,NDUFA13
NDUFA2,NDUFA5
NDUFA2,NDUFA9
NDUFA2,NDUFAB1
NDUFA2,NDUFB10
NDUFA2,NDUFB3
NDUFA2,NDUFB11
NDUFA2,NDUFB7
NDUFA2,NDUFB8
NDUFA2,NDUFC2
NDUFA2,NDUFS3
NDUFA2,NDUFS6
NDUFA2,NDUFS7
NDUFA2,NDUFS5
NDUFA2,NDUFV1
NDUFA3,NDUFA10
NDUFA3,NDUFA11
NDUFA3,NDUFA13
NDUFA3,NDUFA2
NDUFA3,NDUFA5
NDUFA3,NDUFA9
NDUFA3,NDUFA12
NDUFA3,NDUFAB1
NDUFA3,NDUFB10
NDUFA3,NDUFB3
NDUFA3,NDUFB11
NDUFA3,NDUFB7
NDUFA3,NDUFB8
NDUFA3,NDUFC2
NDUFA3,NDUFS3
NDUFA3,NDUFS5
NDUFA3,NDUFS6
NDUFA3,NDUFS7
NDUFA3,NDUFV1
NDUFA4,NDUFA11
NDUFA4,NDUFA10
NDUFA4,NDUFA12
NDUFA4,NDUFA13
NDUFA4,NDUFA2
NDUFA4,NDUFA3
NDUFA4,NDUFA5
NDUFA4,NDUFA6
NDUFA4,NDUFA8
NDUFA4,NDUFA9
NDUFA4,NDUFAB1
NDUFA4,NDUFB1
NDUFA4,NDUFB11
NDUFA4,NDUFB10
NDUFA4,NDUFB3
NDUFA4,NDUFB7
NDUFA4,NDUFB8
NDUFA4,NDUFC2
NDUFA4,NDUFS3
NDUFA4,NDUFS5
NDUFA4,NDUFS6
NDUFA4,NDUFS7
NDUFA4,NDUFV1
NDUFA5,NDUFA10
NDUFA5,NDUFA11
NDUFA5,NDUFA12
NDUFA5,NDUFA13
NDUFA5,NDUFA9
NDUFA5,NDUFAB1
NDUFA5,NDUFB10
NDUFA5,NDUFB11
NDUFA5,NDUFB3
NDUFA5,NDUFB7
NDUFA5,NDUFC2
NDUFA5,NDUFS5
NDUFA5,NDUFS6
NDUFA5,NDUFV1
NDUFA6,NDUFA10
NDUFA6,NDUFA12
NDUFA6,NDUFA11
NDUFA6,NDUFA13
NDUFA6,NDUFA2
NDUFA6,NDUFA3
NDUFA6,NDUFA5
NDUFA6,NDUFA9
NDUFA6,NDUFAB1
NDUFA6,NDUFB10
NDUFA6,NDUFB11
NDUFA6,NDUFB3
NDUFA6,NDUFB7
NDUFA6,NDUFB8
NDUFA6,NDUFC2
NDUFA6,NDUFS3
NDUFA6,NDUFS5
NDUFA6,NDUFS6
NDUFA6,NDUFS7
NDUFA6,NDUFV1
NDUFA7,NDUFA10
NDUFA7,NDUFA11
NDUFA7,NDUFA12
NDUFA7,NDUFA13
NDUFA7,NDUFA2
NDUFA7,NDUFA3
NDUFA7,NDUFA5
NDUFA7,NDUFA4
NDUFA7,NDUFA6
NDUFA7,NDUFA8
NDUFA7,NDUFAB1
NDUFA7,NDUFA9
NDUFA7,NDUFB1
NDUFA7,NDUFB10
NDUFA7,NDUFB11
NDUFA7,NDUFB2
NDUFA7,NDUFB3
NDUFA7,NDUFB7
NDUFA7,NDUFB8
NDUFA7,NDUFC1
NDUFA7,NDUFC2
NDUFA7,NDUFS2
NDUFA7,NDUFS3
NDUFA7,NDUFS5
NDUFA7,NDUFS4
NDUFA7,NDUFS6
NDUFA7,NDUFS7
NDUFA7,NDUFV1
NDUFA7,NDUFV3
NDUFA7,NDUFV2
NDUFA8,NDUFA10
NDUFA8,NDUFA11
NDUFA8,NDUFA12
NDUFA8,NDUFA13
NDUFA8,NDUFA2
NDUFA8,NDUFA3
NDUFA8,NDUFA6
NDUFA8,NDUFA5
NDUFA8,NDUFA9
NDUFA8,NDUFB11
NDUFA8,NDUFAB1
NDUFA8,NDUFB1
NDUFA8,NDUFB10
NDUFA8,NDUFB3
NDUFA8,NDUFB7
NDUFA8,NDUFB8
NDUFA8,NDUFC2
NDUFA8,NDUFS3
NDUFA8,NDUFS5
NDUFA9,NDUFA10
